,player_name,link,club,country,age,position,foot,height,weight,player_id,wages,contract_end,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,sum_stats,lower_name,name,estimated_value,log_value,cluster,tsne_1,tsne_2,closest_0,closest_1,closest_2,closest_3,closest_4,closest_5,closest_6,closest_7,closest_8,closest_9,index_tracker
288,Domenico Berardi,https://fminside.net/players/3-fm-23/43094553-domenico-berardi,Sassuolo,Italy,27.0,AMRAMR,Left,183 CM,72 KG,43094553.0,"€ 106,930 pw",2027-06-30,12.0,14.0,13.0,15.0,14.0,15.0,10.0,15.0,5.0,5.0,16.0,17.0,8.0,15.0,15.0,14.0,12.0,15.0,12.0,14.0,16.0,15.0,16.0,16.0,8.0,15.0,16.0,13.0,15.0,14.0,13.0,10.0,14.0,14.0,14.0,11.0,476.0,domenico-berardi,domenico-berardi,14638925.354917334,16.49919465908442,12.0,-3.836711,-12.467356,james-maddison,iago-aspas,mohamed-salah,matteo-politano,dejan-kulusevski,teji-savanier,mattia-zaccagni,joao-mario,pablo-sarabia,rachid-ghezzal,293
289,Stefan de Vrij,https://fminside.net/players/3-fm-23/37001814-stefan-de-vrij,Internazionale,Netherlands,30.0,DCDC,Right,189 CM,78 KG,37001814.0,"€ 135,390 pw",2023-06-30,4.0,8.0,9.0,9.0,13.0,6.0,16.0,7.0,7.0,17.0,14.0,8.0,15.0,14.0,13.0,17.0,14.0,14.0,12.0,13.0,14.0,12.0,12.0,8.0,14.0,16.0,12.0,14.0,12.0,12.0,14.0,15.0,16.0,12.0,15.0,15.0,443.0,stefan-de-vrij,stefan-de-vrij,7825408.5445732465,15.872886503196693,4.0,33.87338,-8.31005,samuel-gigot,ko-itakura,sergi-gomez,chancel-mbemba,mohamed-simakan,amadou-onana,rodrigo-caio,maxence-lacroix,levi-colwill,ezri-konsa,294
290,Jonny Evans,https://fminside.net/players/3-fm-23/5005078-jonny-evans,Leicester,Northern Ireland,34.0,DCDC,Right,188 CM,77 KG,5005078.0,"€ 116,000 pw",2023-06-30,4.0,5.0,10.0,6.0,12.0,4.0,15.0,3.0,9.0,16.0,12.0,5.0,16.0,13.0,12.0,17.0,14.0,15.0,15.0,13.0,15.0,3.0,15.0,6.0,15.0,14.0,13.0,14.0,12.0,11.0,15.0,15.0,11.0,10.0,13.0,15.0,413.0,jonny-evans,jonny-evans,1668409.142030707,14.32738112080964,10.0,31.748518,-6.0760155,yeray,giorgio-chiellini,florentino-luis,alejandro-catena,german-pezzella,kevin-vogt,tim-ream,felipe,ben-mee,jose-fonte,295
291,André Silva,https://fminside.net/players/3-fm-23/55041694-andre-silva,RB Leipzig,Portugal,26.0,STST,Right,185 CM,84 KG,55041694.0,"€ 80,010 pw",2026-06-30,7.0,11.0,12.0,16.0,14.0,7.0,14.0,9.0,5.0,6.0,13.0,14.0,8.0,13.0,13.0,17.0,14.0,14.0,15.0,14.0,12.0,14.0,7.0,17.0,8.0,15.0,12.0,15.0,12.0,14.0,13.0,13.0,16.0,13.0,15.0,13.0,445.0,andré-silva,andre-silva,9280027.19337922,16.043375035079126,14.0,0.54730004,-14.032707,dominic-calvert-lewin,jamie-vardy,maximiliano-gomez,toni-martinez,danny-ings,aleksandar-mitrovic,alexander-sorloth,andre-pierre-gignac,christian-fassnacht,ante-budimir,296
292,Denis Suárez,https://fminside.net/players/3-fm-23/67107819-denis-suarez,Espanyol,Spain,28.0,"MC, ML, AML, AMCAML, AMC",Right,178 CM,66 KG,67107819.0,"€ 50,628,610","€ 29,510 pw",13.0,14.0,15.0,12.0,16.0,13.0,7.0,13.0,9.0,7.0,16.0,12.0,11.0,16.0,9.0,16.0,9.0,14.0,12.0,13.0,12.0,15.0,8.0,14.0,9.0,16.0,17.0,14.0,13.0,14.0,13.0,10.0,12.0,13.0,12.0,11.0,450.0,denis-suárez,denis-suarez,6124840.840869635,15.627863328893303,9.0,19.501503,-8.610911,angel-mena,david-silva,jose-campana,ryan-gauld,luis-alberto,manu-trigueros,everton-ribeiro,karim-benzema,joao-moutinho,bernardo-silva,297
293,Brais Méndez,https://fminside.net/players/3-fm-23/67199158-brais-mendez,Real Sociedad,Spain,25.0,"MC, AMR, AMCAMR, AMC",Left,187 CM,76 KG,67199158.0,"€ 60,004,270","€ 38,410 pw",15.0,15.0,13.0,15.0,16.0,13.0,10.0,13.0,10.0,6.0,15.0,11.0,10.0,15.0,9.0,15.0,10.0,16.0,15.0,15.0,15.0,14.0,11.0,15.0,11.0,16.0,15.0,15.0,13.0,15.0,10.0,12.0,13.0,13.0,14.0,11.0,470.0,brais-méndez,brais-mendez,15355282.19501884,16.546970089742164,9.0,-19.05261,38.13884,james-rodriguez,aaron-mooy,miralem-pjanic,raphael-guerreiro,mario-gotze,ivan-rakitic,stefano-sensi,adam-lallana,harvey-elliott,lovro-majer,298
294,Zlatan Ibrahimovic,https://fminside.net/players/3-fm-23/142173-zlatan-ibrahimovic,AC Milan,Sweden,40.0,STST,Right,195 CM,95 KG,142173.0,"€ 36,930 pw",2023-06-30,4.0,12.0,12.0,19.0,20.0,15.0,16.0,15.0,6.0,4.0,15.0,14.0,3.0,19.0,16.0,17.0,18.0,16.0,17.0,16.0,20.0,20.0,20.0,15.0,4.0,14.0,15.0,6.0,6.0,9.0,19.0,18.0,20.0,8.0,7.0,18.0,493.0,zlatan-ibrahimovic,zlatan-ibrahimovic,4330249.694725195,15.28113576453433,17.0,8.199979,-18.406033,abderrazak-hamedallah,vincent-aboubakar,jonas-wind,alassane-plea,ross-barkley,max-kruse,pierre-emerick-aubameyang,gareth-bale,paul-pogba,pedro,299
295,Aleksandar Mitrovic,https://fminside.net/players/3-fm-23/62096282-aleksandar-mitrovic,Fulham,Serbia,27.0,STST,Right,189 CM,82 KG,62096282.0,"€ 75,400 pw",2026-06-30,3.0,10.0,13.0,16.0,15.0,6.0,17.0,7.0,3.0,9.0,13.0,13.0,10.0,15.0,16.0,14.0,16.0,14.0,13.0,14.0,14.0,12.0,15.0,16.0,6.0,15.0,12.0,15.0,12.0,10.0,16.0,17.0,13.0,12.0,15.0,19.0,456.0,aleksandar-mitrovic,aleksandar-mitrovic,14090965.311296122,16.46104439191111,14.0,11.350811,-17.73658,darwin-nunez,edinson-cavani,toni-martinez,maximiliano-gomez,danny-ings,alexander-sorloth,andre-pierre-gignac,andre-silva,dominic-calvert-lewin,yussuf-poulsen,300
296,Erik Lamela,https://fminside.net/players/3-fm-23/14005628-erik-lamela,Sevilla,Argentina,30.0,"AMR, AML, AMCAMR, AML, AMC",Left,181 CM,80 KG,14005628.0,"€ 50,628,610","€ 60,000 pw",13.0,14.0,15.0,11.0,14.0,14.0,9.0,14.0,4.0,9.0,15.0,14.0,13.0,16.0,16.0,14.0,12.0,17.0,12.0,12.0,17.0,17.0,5.0,14.0,9.0,16.0,16.0,19.0,13.0,16.0,13.0,9.0,10.0,13.0,14.0,12.0,471.0,erik-lamela,erik-lamela,8782396.821384463,15.988259914847523,15.0,-5.411961,6.164012,miroslav-stevanovic,ludovic-blas,orbelin-pineda,jesse-lingard,alejandro-pozuelo,iker-muniain,wanderson,takumi-minamino,isi-palazon,max-gradel,301
297,Richarlison,https://fminside.net/players/3-fm-23/19265858-richarlison,Tottenham Hotspur,Brazil,25.0,"AMR, AML, STAML, ST",Right,181 CM,71 KG,19265858.0,"€ 203,000 pw",2027-06-30,10.0,11.0,15.0,14.0,13.0,9.0,14.0,11.0,8.0,6.0,12.0,12.0,12.0,15.0,15.0,12.0,13.0,12.0,12.0,10.0,14.0,14.0,9.0,14.0,10.0,12.0,10.0,16.0,15.0,14.0,12.0,11.0,15.0,15.0,17.0,13.0,447.0,richarlison,richarlison,9690854.285814011,16.086693141571658,6.0,27.919683,-1.0459069,timo-werner,wilfried-zaha,christian-kouame,victor-osimhen,marcus-rashford,raheem-sterling,odsonne-edouard,levi-garcia,rodrygo,amine-gouiri,302
298,Roger Ibañez,https://fminside.net/players/3-fm-23/19337893-roger-ibanez,AS Roma,Brazil,23.0,DCDC,Right,187 CM,80 KG,19337893.0,"€ 80,005,700","€ 36,930 pw",5.0,8.0,11.0,9.0,12.0,4.0,16.0,9.0,10.0,15.0,14.0,6.0,17.0,12.0,16.0,17.0,17.0,11.0,10.0,12.0,11.0,8.0,5.0,8.0,14.0,12.0,10.0,12.0,15.0,13.0,11.0,16.0,17.0,17.0,15.0,14.0,429.0,roger-ibañez,roger-ibanez,13812620.366023598,16.441093251486528,4.0,2.5797389,14.61354,joe-gomez,romain-saiss,victor-lindelof,edmond-tapsoba,jerry-st.-juste,patric,eric-garcia,evan-n-dicka,ousmane-diomande,mario-hermoso,303
299,Antony,https://fminside.net/players/3-fm-23/19338230-antony,Manchester United,Brazil,22.0,"MR, AMR, AMC, STMR, AMR",Left,173 CM,63 KG,19338230.0,"€ 174,000 pw",2027-06-30,12.0,14.0,16.0,12.0,16.0,12.0,8.0,14.0,6.0,6.0,14.0,11.0,6.0,16.0,12.0,13.0,15.0,14.0,12.0,11.0,14.0,17.0,8.0,14.0,10.0,12.0,13.0,15.0,15.0,16.0,13.0,7.0,15.0,15.0,14.0,11.0,449.0,antony,antony,13080537.589821445,16.386636003287993,15.0,-15.493944,33.052925,ayoze-perez,moi-gomez,morgan-sanson,raul-ruidiaz,chiquinho,noa-lang,giovanni-reyna,mohammed-kudus,youcef-belaili,sebastian-driussi,304
300,Pepê,https://fminside.net/players/3-fm-23/19340940-pepe,FC Porto,Brazil,25.0,"MR, ML, AMR, AMLAMR, AML",Right,175 CM,69 KG,19340940.0,"€ 75,005,340","€ 29,750 pw",10.0,12.0,17.0,12.0,14.0,9.0,11.0,12.0,6.0,8.0,13.0,11.0,8.0,16.0,10.0,13.0,12.0,14.0,11.0,13.0,14.0,16.0,5.0,15.0,9.0,11.0,12.0,14.0,16.0,15.0,13.0,8.0,13.0,15.0,16.0,9.0,433.0,pepê,pepe,9834618.925807131,16.101419262314117,15.0,15.755134,-15.658228,nuno-santos,ruben-garcia,xavi-simons,luis-diaz,mahmoud-dahoud,alvaro-fidalgo,alexandr-golovin,jamal-musiala,giacomo-raspadori,andreas-pereira,305
301,Moisés Caicedo,https://fminside.net/players/3-fm-23/86078360-moises-caicedo,Brighton,Ecuador,20.0,"DM, MCDM, MC",Right,178 CM,73 KG,86078360.0,"€ 29,000 pw",2025-06-30,5.0,8.0,14.0,11.0,14.0,8.0,9.0,12.0,4.0,12.0,15.0,8.0,18.0,14.0,13.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,9.0,13.0,14.0,14.0,14.0,15.0,16.0,16.0,12.0,9.0,18.0,14.0,16.0,10.0,452.0,moisés-caicedo,moises-caicedo,26520037.689794425,17.093411144464728,5.0,25.049887,-18.350779,nicolas-dominguez,unai-vencedor,callum-mcgregor,maxime-lopez,ander-herrera,rasmus-falk,exequiel-palacios,sofyan-amrabat,valentin-rongier,diego-demme,306
302,Edinson Cavani,https://fminside.net/players/3-fm-23/78005742-edinson-cavani,Valencia,Uruguay,35.0,STST,Right,184 CM,71 KG,78005742.0,"€ 42,796,200","€ 44,160 pw",12.0,12.0,10.0,16.0,13.0,14.0,18.0,13.0,4.0,10.0,12.0,16.0,9.0,13.0,16.0,14.0,16.0,14.0,13.0,12.0,17.0,10.0,14.0,16.0,12.0,14.0,10.0,17.0,13.0,14.0,14.0,15.0,18.0,13.0,12.0,15.0,481.0,edinson-cavani,edinson-cavani,5147965.983022798,15.454112239871892,14.0,18.543085,-8.080663,lautaro-martinez,darwin-nunez,sadio-mane,gabriel-jesus,ivan-toney,mehdi-taremi,edin-dzeko,gerard-moreno,yussuf-poulsen,alvaro-morata,307
303,Reinildo,https://fminside.net/players/3-fm-23/13160655-reinildo,Atlético Madrid,Mozambique,28.0,"DL, DC, WBL, AMLDL, DC, WBL",Left,180 CM,68 KG,13160655.0,"€ 43,034,310","€ 34,850 pw",8.0,14.0,14.0,8.0,13.0,9.0,13.0,8.0,9.0,13.0,13.0,6.0,14.0,13.0,14.0,14.0,14.0,13.0,15.0,13.0,16.0,9.0,6.0,13.0,12.0,16.0,12.0,17.0,16.0,13.0,9.0,12.0,14.0,15.0,16.0,13.0,447.0,reinildo,reinildo,7876365.968801707,15.879377183989927,0.0,-15.886862,40.780087,lutsharel-geertruida,diogo-dalot,alvaro-odriozola,santiago-arias,hector-bellerin,rico-henry,dani-carvajal,djene-dakonam,ander-capa,mathias-olivera,308
304,Lewis Dunk,https://fminside.net/players/3-fm-23/29036189-lewis-dunk,Brighton,England,30.0,DCDC,Right,191 CM,78 KG,29036189.0,"€ 92,800 pw",2025-06-30,5.0,7.0,9.0,6.0,13.0,9.0,14.0,5.0,6.0,14.0,14.0,10.0,16.0,13.0,13.0,14.0,17.0,14.0,15.0,15.0,14.0,8.0,15.0,7.0,15.0,14.0,12.0,14.0,11.0,11.0,10.0,16.0,13.0,14.0,15.0,14.0,432.0,lewis-dunk,lewis-dunk,4967854.899737125,15.41849869519169,10.0,-9.609166,35.94786,sebastian-coates,ethan-pinnock,nayef-aguerd,raul-albiol,pepe,wout-faes,sven-botman,antonio-rudiger,dejan-lovren,simon-kjaer,309
305,Martin Terrier,https://fminside.net/players/3-fm-23/48042204-martin-terrier,Rennes,France,25.0,"AMR, AML, AMC, STAML, AMC, ST",Right,184 CM,73 KG,48042204.0,"€ 60,000 pw",2026-06-30,12.0,11.0,13.0,15.0,16.0,12.0,13.0,12.0,4.0,5.0,14.0,11.0,5.0,16.0,10.0,13.0,11.0,13.0,12.0,13.0,15.0,15.0,8.0,14.0,8.0,14.0,13.0,13.0,15.0,13.0,13.0,12.0,14.0,14.0,14.0,12.0,438.0,martin-terrier,martin-terrier,11261997.200227955,16.23694453619322,6.0,-10.139468,21.338951,ezequiel-avila,kelechi-iheanacho,samuel-lino,hwang-hee-chan,jonathan-rodriguez,terem-moffi,randal-kolo-muani,sheraldo-becker,noni-madueke,m'bala-nzola,310
306,Anthony Martial,https://fminside.net/players/3-fm-23/85086702-anthony-martial,Manchester United,France,26.0,"AML, STST",Right,181 CM,76 KG,85086702.0,"€ 290,000 pw",2024-06-30,5.0,9.0,16.0,15.0,16.0,8.0,12.0,12.0,2.0,5.0,14.0,15.0,5.0,16.0,6.0,13.0,10.0,15.0,11.0,13.0,8.0,17.0,6.0,12.0,6.0,14.0,10.0,11.0,15.0,16.0,15.0,9.0,15.0,16.0,16.0,13.0,417.0,anthony-martial,anthony-martial,21601923.93681788,16.88829293983677,6.0,-22.08315,19.760765,jonathan-rodriguez,ezequiel-avila,martin-terrier,terem-moffi,hwang-hee-chan,nicolo-zaniolo,kelechi-iheanacho,angel-romero,m'bala-nzola,ismaila-sarr,311
307,Nicolò Zaniolo,https://fminside.net/players/3-fm-23/43270517-nicolo-zaniolo,Galatasaray,Italy,23.0,"MC, AMR, AMC, STAMR, AMC",Left,189 CM,79 KG,43270517.0,"€ 35,002,490","€ 66,110 pw",13.0,11.0,16.0,12.0,13.0,9.0,12.0,15.0,6.0,8.0,12.0,12.0,9.0,14.0,18.0,11.0,18.0,15.0,14.0,10.0,18.0,13.0,6.0,14.0,9.0,8.0,13.0,17.0,15.0,13.0,11.0,12.0,13.0,16.0,14.0,17.0,457.0,nicolò-zaniolo,nicolo-zaniolo,11482233.665278343,16.256311500075576,6.0,-13.759926,8.582572,ismaila-sarr,terem-moffi,bruno-henrique,adama-traore,hwang-hee-chan,nicolas-jackson,ezequiel-avila,martin-terrier,anthony-martial,kelechi-iheanacho,312
308,Francesco Acerbi,https://fminside.net/players/3-fm-23/43017499-francesco-acerbi,Internazionale,Italy,34.0,DCDC,Left,192 CM,88 KG,43017499.0,"€ 64,040 pw",2025-06-30,4.0,9.0,7.0,9.0,12.0,8.0,17.0,4.0,4.0,15.0,13.0,9.0,17.0,12.0,15.0,17.0,15.0,14.0,14.0,13.0,19.0,11.0,14.0,9.0,15.0,15.0,12.0,15.0,10.0,10.0,15.0,16.0,20.0,11.0,15.0,17.0,452.0,francesco-acerbi,francesco-acerbi,4158223.049076196,15.24059838931781,7.0,-6.130414,-23.375336,tormena,luiz-felipe,angelo-ogbonna,axel-disasi,merih-demiral,nicolo-casale,craig-dawson,david-garcia,omar-alderete,philipp-lienhart,313
309,Alessio Romagnoli,https://fminside.net/players/3-fm-23/43093395-alessio-romagnoli,Lazio,Italy,27.0,DCDC,Left,188 CM,78 KG,43093395.0,"€ 106,930 pw",2027-06-30,5.0,5.0,8.0,9.0,12.0,4.0,15.0,6.0,13.0,16.0,14.0,12.0,15.0,13.0,14.0,13.0,13.0,15.0,13.0,14.0,15.0,5.0,13.0,8.0,15.0,15.0,12.0,14.0,12.0,12.0,15.0,15.0,14.0,13.0,16.0,14.0,437.0,alessio-romagnoli,alessio-romagnoli,6944109.708076219,15.75340433417163,10.0,2.7901235,5.1470275,victor-nelsson,marten-de-roon,ivan-marcano,yerry-mina,gianluca-mancini,rani-khedira,fabio-cardoso,dani-vivian,joel-veltman,robin-knoche,314
310,Marten de Roon,https://fminside.net/players/3-fm-23/37001813-marten-de-roon,Atalanta,Netherlands,31.0,"DM, MCDM, MC",Right,185 CM,76 KG,37001813.0,"€ 35,580 pw",2024-06-30,7.0,8.0,10.0,8.0,12.0,5.0,14.0,10.0,10.0,14.0,12.0,6.0,17.0,12.0,16.0,16.0,16.0,14.0,14.0,15.0,16.0,8.0,14.0,12.0,16.0,18.0,12.0,18.0,12.0,11.0,13.0,14.0,16.0,12.0,17.0,15.0,460.0,marten-de-roon,marten-de-roon,4886958.386731527,15.4020806611212,10.0,3.9118452,3.8237836,fabio-cardoso,alessio-romagnoli,joel-veltman,yerry-mina,victor-nelsson,ivan-marcano,gianluca-mancini,robin-knoche,ben-mee,rani-khedira,315
311,Daley Blind,https://fminside.net/players/3-fm-23/37005632-daley-blind,FC Bayern,Netherlands,32.0,"DL, DC, DM, WBL, MCDL, DC, DM, WBL",Left,180 CM,72 KG,37005632.0,"€ 47,950 pw",2023-06-30,12.0,12.0,8.0,8.0,15.0,10.0,13.0,8.0,10.0,14.0,16.0,11.0,13.0,14.0,12.0,16.0,14.0,17.0,14.0,16.0,17.0,10.0,16.0,14.0,15.0,17.0,16.0,16.0,9.0,11.0,14.0,12.0,17.0,9.0,14.0,12.0,472.0,daley-blind,daley-blind,3399463.879485961,15.039128294649068,8.0,-9.700221,39.011074,leonardo-bonucci,axel-witsel,etienne-capoue,tomas-soucek,virgil-van-dijk,marquinhos,thiago-silva,benjamin-pavard,joao-palhinha,gerard-pique,316
312,Raúl García,https://fminside.net/players/3-fm-23/1502117-raul-garcia,Athletic Bilbao,Spain,35.0,"MC, AMC, STAMC, ST",Right,184 CM,84 KG,1502117.0,"€ 1,000,000,000","€ 160,010 pw",10.0,10.0,11.0,14.0,14.0,10.0,16.0,17.0,10.0,11.0,14.0,15.0,12.0,13.0,15.0,13.0,15.0,16.0,13.0,15.0,14.0,13.0,13.0,15.0,15.0,16.0,13.0,15.0,11.0,12.0,12.0,12.0,14.0,12.0,13.0,15.0,479.0,raúl-garcía,raul-garcia,3446005.6659153025,15.05272634026927,2.0,7.8649635,-30.4692,rafael-carioca,david-hancko,alex-sandro,sardar-azmoun,marcos-alonso,antonin-barak,gaetano-castrovilli,florian-grillitsch,robin-gosens,corentin-tolisso,317
313,Pedro,https://fminside.net/players/3-fm-23/1510305-pedro,Lazio,Spain,34.0,"AMR, AML, AMCAMR, AML",Right,167 CM,66 KG,1510305.0,"€ 61,740 pw",2023-06-30,13.0,12.0,16.0,15.0,17.0,10.0,3.0,15.0,4.0,4.0,13.0,13.0,10.0,16.0,15.0,15.0,13.0,13.0,13.0,15.0,20.0,18.0,8.0,17.0,5.0,14.0,13.0,15.0,14.0,14.0,15.0,6.0,20.0,14.0,9.0,6.0,453.0,pedro,pedro,2914279.208233318,14.88513307728768,15.0,1.3939357,24.20577,jesse-lingard,jarrod-bowen,matias-zaracho,oliver,giovanni-reyna,joe-willock,gabriel-strefezza,brahim-diaz,emile-smith-rowe,houssem-aouar,318
314,Lucas Vazquez,https://fminside.net/players/3-fm-23/67135344-lucas-vazquez,Real Madrid,Spain,31.0,"DR, WBR, MR, AMRWBR, MR",Right,173 CM,71 KG,67135344.0,"€ 500,035,600","€ 123,300 pw",14.0,13.0,12.0,11.0,13.0,11.0,10.0,11.0,8.0,12.0,13.0,12.0,13.0,13.0,15.0,15.0,14.0,11.0,14.0,14.0,14.0,14.0,11.0,14.0,13.0,15.0,11.0,16.0,14.0,15.0,15.0,7.0,14.0,14.0,15.0,11.0,462.0,lucas-vazquez,lucas-vazquez,4581768.577388954,15.3375956338211,13.0,5.9964213,-27.664751,aaron-cresswell,benjamin-bourigeaud,edenilson,borna-sosa,angelino,sergi-roberto,dennis-praet,albert-sambi-lokonga,wendel,maycon,319
315,Javi Galán,https://fminside.net/players/3-fm-23/67243881-javi-galan,Celta de Vigo,Spain,27.0,"DL, WBLDL, WBL",Left,172 CM,0 KG,67243881.0,"€ 28,689,540","€ 28,770 pw",13.0,16.0,16.0,11.0,11.0,11.0,6.0,7.0,13.0,11.0,13.0,9.0,15.0,13.0,14.0,15.0,14.0,12.0,13.0,14.0,16.0,13.0,10.0,14.0,14.0,15.0,12.0,16.0,15.0,15.0,14.0,9.0,15.0,14.0,16.0,12.0,467.0,javi-galán,javi-galan,7916288.121970804,15.884432982461476,13.0,8.801587,-6.685459,douglas-santos,alan-patrick,stuart-dallas,trent-alexander-arnold,hwang-in-beom,juan-cuadrado,ricardo-pereira,amadou-haidara,oleksandr-zinchenko,edenilson,320
316,Nikola Milenkovic,https://fminside.net/players/3-fm-23/62191195-nikola-milenkovic,Fiorentina,Serbia,24.0,DCDC,Right,195 CM,92 KG,62191195.0,"€ 106,930 pw",2027-06-30,4.0,8.0,8.0,10.0,11.0,4.0,16.0,5.0,9.0,15.0,13.0,6.0,15.0,11.0,17.0,14.0,16.0,13.0,14.0,13.0,15.0,7.0,11.0,8.0,15.0,15.0,11.0,15.0,13.0,12.0,14.0,17.0,16.0,14.0,14.0,16.0,435.0,nikola-milenkovic,nikola-milenkovic,8136621.371629878,15.911885586905106,7.0,-7.912442,7.5566473,kevin-danso,philipp-lienhart,marash-kumbulla,merih-demiral,abdou-diallo,rodrigo-becao,eric-bailly,presnel-kimpembe,benoit-badiashile,domingos-duarte,321
317,David Neres,https://fminside.net/players/3-fm-23/19260918-david-neres,Benfica,Brazil,25.0,"MR, ML, AMR, AMLMR, AMR, AML",Left,176 CM,74 KG,19260918.0,"€ 100,007,120","€ 41,350 pw",14.0,14.0,18.0,13.0,16.0,10.0,8.0,12.0,7.0,5.0,15.0,10.0,5.0,17.0,12.0,14.0,11.0,13.0,9.0,11.0,13.0,18.0,5.0,16.0,6.0,11.0,15.0,8.0,16.0,16.0,14.0,9.0,8.0,14.0,12.0,11.0,426.0,david-neres,david-neres,6809172.631941324,15.733781177637807,3.0,14.137667,-28.510906,mikkel-damsgaard,michael-olise,ousmane-dembele,ez-abde,leandro-trossard,rafa,kingsley-coman,yannick-carrasco,matheus-cunha,leroy-sane,322
318,Fernandinho,https://fminside.net/players/3-fm-23/8825061-fernandinho,Athletico Paranaense,Brazil,37.0,"DM, MCDM, MC",Right,179 CM,67 KG,8825061.0,"€ 30,550 pw",2024-12-31,10.0,9.0,13.0,11.0,15.0,10.0,14.0,12.0,6.0,13.0,15.0,13.0,15.0,16.0,15.0,14.0,16.0,16.0,18.0,16.0,16.0,10.0,15.0,15.0,13.0,17.0,12.0,17.0,11.0,11.0,14.0,11.0,14.0,11.0,11.0,13.0,478.0,fernandinho,fernandinho,3471965.57973625,15.060231441042802,8.0,3.1720889,-4.8013973,toby-alderweireld,mats-hummels,bryan-cristante,joachim-andersen,matthias-ginter,fabian-schar,ali-al-musrati,guido-pizarro,goncalo-inacio,nemanja-matic,323
319,Malcom,https://fminside.net/players/3-fm-23/19229435-malcom,Zenit,Brazil,25.0,"MR, AMR, AML, AMCAMR, AMC",Left,175 CM,71 KG,19229435.0,"€ 125,010 pw",2027-06-30,14.0,13.0,16.0,13.0,15.0,15.0,8.0,14.0,6.0,4.0,15.0,12.0,4.0,16.0,7.0,13.0,10.0,11.0,11.0,13.0,14.0,17.0,8.0,16.0,8.0,11.0,15.0,10.0,16.0,16.0,15.0,8.0,13.0,15.0,12.0,9.0,433.0,malcom,malcom,6745357.831506276,15.724365097589136,3.0,-17.302761,17.629978,luis-sinisterra,nicolas-pepe,cole-palmer,dodi-lukebakio,harvey-barnes,musa-barrow,roger-guedes,joaquin-correa,rodrigo,adnan-januzaj,324
320,Luis Suárez,https://fminside.net/players/3-fm-23/78000335-luis-suarez,Grêmio,Uruguay,35.0,STST,Right,182 CM,86 KG,78000335.0,"€ 80,510 pw",2024-12-31,15.0,15.0,14.0,18.0,17.0,16.0,13.0,15.0,8.0,8.0,16.0,16.0,9.0,15.0,17.0,16.0,18.0,19.0,13.0,15.0,20.0,18.0,15.0,17.0,8.0,13.0,15.0,9.0,9.0,9.0,9.0,11.0,16.0,10.0,10.0,14.0,496.0,luis-suárez,luis-suarez,4035976.007483833,15.210758715810572,1.0,-2.3665988,-11.839338,ruben-neves,rodrigo-de-paul,dani-parejo,lorenzo-pellegrini,harry-kane,daniel-alves,mikel-oyarzabal,carlos-soler,dusan-tadic,bruno-fernandes,325
321,Séko Fofana,https://fminside.net/players/3-fm-23/85094652-seko-fofana,RC Lens,Ivory Coast,27.0,"DM, MCDM, MC",Right,185 CM,74 KG,85094652.0,"€ 35,320 pw",2025-06-30,6.0,9.0,14.0,13.0,14.0,11.0,10.0,14.0,3.0,10.0,14.0,12.0,12.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,14.0,14.0,15.0,14.0,12.0,15.0,14.0,18.0,14.0,12.0,14.0,12.0,15.0,14.0,16.0,16.0,463.0,séko-fofana,seko-fofana,12207933.708784994,16.317596602346235,2.0,11.124572,1.0898554,federico-valverde,matteo-pessina,sasa-lukic,kai-havertz,roberto-firmino,theo-hernandez,mattias-svanberg,john-mcginn,baptiste-santamaria,ederson,326
322,Nicolas Pépé,https://fminside.net/players/3-fm-23/85136376-nicolas-pepe,OGC Nice,Ivory Coast,27.0,"AMR, AMLAMR",Left,183 CM,73 KG,85136376.0,"€ 121,800 pw",2024-06-30,12.0,12.0,17.0,13.0,14.0,14.0,8.0,16.0,2.0,4.0,12.0,15.0,4.0,16.0,6.0,12.0,8.0,13.0,8.0,11.0,8.0,18.0,7.0,16.0,6.0,11.0,12.0,11.0,17.0,18.0,13.0,9.0,14.0,16.0,13.0,10.0,416.0,nicolas-pépé,nicolas-pepe,6235461.126425987,15.645763092088238,3.0,-15.435895,11.136522,roger-guedes,luis-sinisterra,cole-palmer,malcom,rodrigo,harvey-barnes,ademola-lookman,pedro-neto,roland-sallai,adnan-januzaj,327
