,player_name,link,club,country,age,position,foot,height,weight,player_id,wages,contract_end,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength
2875,Eduard Löwen,https://fminside.net/players/3-fm-23/91171285-eduard-lowen,St. Louis City,Germany,25,"DC, DM, MCDC, DM, MC",Right,188 CM,91 KG,91171285,"€ 25,100 pw",2026-12-31,10,9,10,9,12,13,14,13,10,12,14,13,12,13,12,15,15,14,11,10,14,13,9,13,11,12,12,10,11,11,15,14,11,12,12,16
2876,Márton Dárdai,https://fminside.net/players/3-fm-23/91188481-marton-dardai,Hertha BSC,Germany,20,"DC, DMDC",Left,188 CM,77 KG,91188481,"€ 7,200 pw",2025-06-30,14,13,11,7,13,13,13,7,8,11,14,10,13,14,10,13,10,13,13,12,13,11,9,11,13,13,12,13,13,13,13,13,13,13,13,13
2877,Marc-Oliver Kempf,https://fminside.net/players/3-fm-23/92027023-marc-oliver-kempf,Hertha BSC,Germany,27,DCDC,Left,186 CM,87 KG,92027023,"€ 19,230 pw",2026-06-30,5,8,9,6,12,5,15,6,10,13,13,8,15,13,15,12,16,14,9,10,16,7,14,6,13,16,13,13,12,11,14,15,11,14,12,16
2878,Sebastian Griesbeck,https://fminside.net/players/3-fm-23/92061795-sebastian-griesbeck,Greuther Fürth,Germany,31,"DM, MCDM, MC",Right,191 CM,86 KG,92061795,"€ 8,000 pw",2023-06-30,7,7,7,9,12,6,14,7,9,13,12,7,14,10,16,14,16,16,15,13,14,6,14,12,15,17,8,17,11,10,13,13,13,13,15,13
2879,Felix Agu,https://fminside.net/players/3-fm-23/92098106-felix-agu,Werder Bremen,Germany,22,"DR, DL, WBR, WBLDR, DL, WBR, WBL",Right,180 CM,71 KG,92098106,"€ 13,000 pw",2024-06-30,8,11,12,8,14,6,9,8,14,12,10,8,12,13,14,10,11,11,10,9,12,8,7,13,10,13,8,15,15,14,11,11,16,15,14,10
2880,George Baldock,https://fminside.net/players/3-fm-23/29063519-george-baldock,Sheff Utd,Greece,29,"DR, WBRDR, WBR",Right,178 CM,67 KG,29063519,"€ 25,520 pw",2024-06-30,6,11,12,8,13,6,12,8,8,12,12,8,13,13,14,13,15,13,12,13,15,13,11,13,13,14,10,16,14,13,13,12,15,14,15,13
2881,Taxi Fountas,https://fminside.net/players/3-fm-23/36055197-taxi-fountas,D.C. United,Greece,26,"MR, AMR, AMC, STAMC, ST",Right,171 CM,65 KG,36055197,"€ 31,920 pw",2025-06-30,7,8,12,13,10,9,6,10,6,8,11,11,7,13,11,12,11,10,9,11,11,13,8,14,5,12,9,12,17,16,9,5,11,14,12,7
2882,Sebastian Vasiliadis,https://fminside.net/players/3-fm-23/92079018-sebastian-vasiliadis,Arminia Bielefeld,Greece,24,"DM, MCDM, MC",Right,177 CM,73 KG,92079018,"€ 4,500 pw",2024-06-30,8,9,12,8,12,9,7,10,7,12,11,8,14,11,17,14,15,12,14,11,17,10,11,13,11,15,13,17,13,11,16,8,15,12,15,14
2883,Oscar Gloukh,https://fminside.net/players/3-fm-23/2000065061-oscar-gloukh,FC RB Salzburg,Israel,18,"MC, AMC, STMC, AMC",Right,170 CM,71 KG,2000065061,"€ 23,400 pw",2027-06-30,11,13,13,13,14,10,8,11,6,6,14,13,6,15,7,13,13,15,12,10,13,14,12,13,7,12,13,12,12,14,14,5,14,12,11,7
2884,Lorenzo De Silvestri,https://fminside.net/players/3-fm-23/1401054-lorenzo-de-silvestri,Bologna,Italy,34,"DR, WBR, MRDR, WBR",Right,186 CM,84 KG,1401054,"€ 32,120 pw",2023-06-30,8,11,10,9,11,4,15,6,15,12,11,4,11,11,14,12,16,14,12,13,18,8,12,12,12,17,8,16,13,12,14,14,13,14,12,15
2885,Simone Verdi,https://fminside.net/players/3-fm-23/43061356-simone-verdi,Hellas Verona,Italy,29,"AMR, AML, AMC, STAMC",Left,174 CM,65 KG,43061356,"€ 60,480 pw",2024-06-30,14,14,13,10,14,17,5,15,5,4,14,14,5,15,13,11,10,10,9,10,16,15,8,11,4,13,14,12,12,13,13,4,12,13,11,8
2886,Lorenzo Lucca,https://fminside.net/players/3-fm-23/43409366-lorenzo-lucca,Ajax,Italy,21,STST,Right,201 CM,86 KG,43409366,"€ 10,610 pw",2026-06-30,4,8,11,14,12,12,16,12,6,6,12,13,7,13,9,13,13,13,13,13,18,12,7,12,10,13,11,13,12,11,14,17,14,12,14,15
2887,Matteo Ruggeri,https://fminside.net/players/3-fm-23/43425834-matteo-ruggeri,Atalanta,Italy,19,"DL, WBLDL, WBL",Left,179 CM,79 KG,43425834,"€ 1,350 pw",2026-06-30,13,14,11,6,12,13,8,11,8,10,12,5,13,12,11,12,11,13,14,12,15,8,8,13,13,14,12,14,13,13,12,10,16,14,14,12
2888,Robin Pröpper,https://fminside.net/players/3-fm-23/168288-robin-propper,FC Twente,Netherlands,28,DCDC,Right,190 CM,80 KG,168288,"€ 2,200 pw",2024-06-30,9,7,12,8,11,10,15,11,10,13,12,8,12,9,15,11,12,13,11,12,12,5,16,10,14,15,10,15,11,12,14,14,13,12,14,12
2889,Tim Krul,https://fminside.net/players/3-fm-23/859596-tim-krul,Norwich City,Netherlands,34,GKGK,Left,194 CM,83 KG,859596,"€ 34,800 pw",2024-06-30,14,14,12,8,8,14,11,16,9,10,15,15,12,11,11,14,14,12,12,14,2,14,2,15,10,5,12,10,13,13,17,13,7,14,10,4
2890,Jeffrey Gouweleeuw,https://fminside.net/players/3-fm-23/37004721-jeffrey-gouweleeuw,FC Augsburg,Netherlands,30,DCDC,Right,188 CM,78 KG,37004721,"€ 23,080 pw",2024-06-30,7,10,12,8,12,8,12,10,10,13,13,12,14,13,14,14,10,15,11,13,12,10,12,8,12,10,13,13,12,11,15,14,15,14,13,12
2891,Bas Dost,https://fminside.net/players/3-fm-23/37005776-bas-dost,FC Utrecht,Netherlands,33,STST,Right,196 CM,83 KG,37005776,"€ 8,000 pw",2023-06-30,6,9,8,16,14,8,17,9,5,6,11,18,6,12,8,18,14,18,16,14,12,10,8,16,6,12,10,8,7,10,13,16,13,9,10,15
2892,Adam Maher,https://fminside.net/players/3-fm-23/37012969-adam-maher,Damac,Netherlands,28,"DM, MC, AMCDM, MC, AMC",Right,174 CM,67 KG,37012969,"€ 25,000 pw",2024-06-30,15,13,14,11,15,13,7,12,7,7,15,13,10,15,11,14,12,15,9,13,14,13,6,12,9,10,15,9,12,14,12,8,15,11,11,7
2893,Mike van der Hoorn,https://fminside.net/players/3-fm-23/37027601-mike-van-der-hoorn,FC Utrecht,Netherlands,29,DCDC,Right,190 CM,82 KG,37027601,"€ 5,000 pw",2024-06-30,5,9,9,8,10,4,15,7,9,13,13,6,15,10,13,14,15,11,14,13,13,8,12,8,14,13,10,12,12,9,11,16,16,12,13,15
2894,Hidde ter Avest,https://fminside.net/players/3-fm-23/37046274-hidde-ter-avest,FC Utrecht,Netherlands,25,"DR, DC, WBRDR, DC, WBR",Right,182 CM,76 KG,37046274,"€ 4,000 pw",2024-06-30,10,13,10,7,11,8,12,8,7,12,11,10,12,13,14,14,12,11,12,13,12,13,11,13,13,14,12,15,13,12,13,12,15,13,13,13
2895,Kevin Diks,https://fminside.net/players/3-fm-23/37046467-kevin-diks,FC København,Netherlands,25,"DR, WBRDR, WBR",Right,182 CM,73 KG,37046467,"€ 13,440 pw",2025-06-30,6,11,13,13,12,6,14,10,15,11,10,7,12,12,16,14,13,12,12,11,13,13,8,14,11,14,13,15,16,12,13,12,13,13,14,11
2896,Timothy Fosu-Mensah,https://fminside.net/players/3-fm-23/37051102-timothy-fosu-mensah,Bayer Leverkusen,Netherlands,24,"DR, DC, DM, MCDR",Right,185 CM,86 KG,37051102,"€ 25,890 pw",2024-06-30,8,7,9,6,12,7,11,8,8,12,11,8,13,11,13,12,12,10,11,11,16,7,6,11,12,12,10,12,15,12,12,15,14,16,15,15
2897,Virgil Misidjan,https://fminside.net/players/3-fm-23/37024996-virgil-misidjan,FC Twente,Netherlands,28,"MR, ML, AMR, AMLML, AMR, AML",Right,173 CM,70 KG,37024996,"€ 4,220 pw",2023-06-30,12,12,13,11,12,11,8,13,6,4,12,10,5,13,9,12,11,12,11,11,14,15,7,12,6,10,11,9,15,15,9,8,12,15,13,9
2898,Gijs Smal,https://fminside.net/players/3-fm-23/37060899-gijs-smal,FC Twente,Netherlands,24,"DL, WBLDL, WBL",Left,183 CM,83 KG,37060899,"€ 1,920 pw",2023-06-30,10,12,12,5,12,15,11,13,11,12,13,6,12,13,12,12,13,13,15,12,13,7,11,12,13,14,12,15,13,12,13,11,12,12,14,12
2899,Milan van Ewijk,https://fminside.net/players/3-fm-23/37075765-milan-van-ewijk,Heerenveen,Netherlands,21,"DR, WBR, MR, AMRDR, WBR",Right,175 CM,0 KG,37075765,"€ 2,500 pw",2025-06-30,8,12,11,6,12,7,5,5,9,11,12,9,12,13,12,11,13,11,11,12,13,10,9,11,11,14,10,14,16,14,12,7,14,17,13,10
2900,Oliver Norwood,https://fminside.net/players/3-fm-23/28010490-oliver-norwood,Sheff Utd,Northern Ireland,31,"DM, MCDM, MC",Right,180 CM,77 KG,28010490,"€ 26,100 pw",2023-06-30,13,13,10,11,12,12,10,11,6,11,15,12,12,14,13,12,11,13,13,13,14,11,13,12,14,13,14,13,12,12,12,10,14,11,14,10
2901,Etzaz Hussain,https://fminside.net/players/3-fm-23/53031227-etzaz-hussain,Apol. Limassol,Norway,29,"DM, MCMC",Left,176 CM,69 KG,53031227,"€ 8,000 pw",2025-05-31,13,11,11,12,15,10,8,13,2,6,14,11,7,15,14,15,12,12,12,14,13,13,9,13,13,11,16,13,12,13,10,7,14,11,15,7
2902,Brede Moe,https://fminside.net/players/3-fm-23/53041641-brede-moe,Bodø/Glimt,Norway,30,DCDC,Right,184 CM,80 KG,53041641,"€ 1,720 pw",2024-12-31,4,6,9,7,11,5,13,8,5,12,13,10,13,11,13,14,14,13,14,13,14,6,14,11,15,14,12,13,11,10,13,13,13,11,14,15
2903,Ulrik Saltnes,https://fminside.net/players/3-fm-23/53060905-ulrik-saltnes,Bodø/Glimt,Norway,29,"DC, DM, MC, AMCMC",Right,187 CM,78 KG,53060905,"€ 1,160 pw",2023-12-31,8,9,10,11,10,12,11,12,6,12,12,15,12,12,13,15,13,13,15,14,18,10,15,14,13,16,12,16,10,11,13,13,16,10,14,13
2904,Henrik Bjørdal,https://fminside.net/players/3-fm-23/53098863-henrik-bjrdal,Vålerenga,Norway,25,MCMC,Right,188 CM,86 KG,53098863,"€ 2,520 pw",2026-12-31,7,11,12,8,13,9,11,8,6,10,13,11,12,13,14,12,14,11,12,13,12,12,13,13,12,15,12,16,12,12,12,13,12,12,16,13
2905,Ola Brynhildsen,https://fminside.net/players/3-fm-23/53125145-ola-brynhildsen,Molde,Norway,23,"AMR, AML, STAML, ST",Right,175 CM,70 KG,53125145,"€ 5,550 pw",2024-12-31,8,11,14,12,12,8,6,10,3,5,11,9,5,12,15,12,11,13,11,11,14,15,11,13,6,12,10,13,16,14,13,6,10,14,13,10
2906,Przemysław Frankowski,https://fminside.net/players/3-fm-23/96029182-przemysaw-frankowski,RC Lens,Poland,27,"WBR, WBL, MC, MR, MLWBR, WBL",Right,173 CM,71 KG,96029182,"€ 10,920 pw",2026-06-30,12,12,13,12,12,8,7,12,11,11,13,5,11,13,7,12,9,12,11,11,13,14,7,13,11,15,12,14,14,12,12,8,12,14,13,9
2907,Paweł Dawidowicz,https://fminside.net/players/3-fm-23/96044665-pawe-dawidowicz,Hellas Verona,Poland,27,DCDC,Right,189 CM,80 KG,96044665,"€ 7,310 pw",2025-06-30,6,8,10,7,11,6,14,9,7,15,11,8,14,11,15,12,14,11,12,11,14,8,10,5,14,14,10,12,10,10,13,16,14,12,13,17
2908,Gelson Martins,https://fminside.net/players/3-fm-23/55063369-gelson-martins,AS Monaco,Portugal,27,"MR, AMR, AMLMR, AMR",Right,173 CM,74 KG,55063369,"€ 69,050 pw",2024-06-30,7,10,14,10,15,7,4,10,2,5,13,12,5,15,10,13,10,12,10,10,15,16,6,14,7,9,12,10,15,16,12,7,14,15,13,9
2909,Bruno Costa,https://fminside.net/players/3-fm-23/55070310-bruno-costa,FC Porto,Portugal,25,"MC, MR, ML, AMR, AML, AMCMC",Right,173 CM,67 KG,55070310,"€ 8,750 pw",2024-06-30,14,13,11,8,13,12,7,11,7,10,14,13,12,14,12,12,13,13,12,12,14,12,8,13,12,13,13,14,13,14,12,9,14,12,13,10
2910,Daniel Bragança,https://fminside.net/players/3-fm-23/83111519-daniel-braganca,Sporting CP,Portugal,23,"DM, MCDM, MC",Left,177 CM,72 KG,83111519,"€ 45,003,210","€ 9,730 pw",13,13,13,11,14,12,6,12,7,8,15,11,12,16,11,13,11,16,13,14,14,12,13,12,14,13,15,12,12,13,16,6,13,12,12,8
2911,Leonardo Lelo,https://fminside.net/players/3-fm-23/83257795-leonardo-lelo,Casa Pia,Portugal,22,"DL, WBL, MLDL, WBL, ML",Left,175 CM,70 KG,83257795,"€ 1,950 pw",2023-06-30,12,12,12,10,12,10,8,9,12,10,12,13,14,13,14,13,15,12,14,12,16,13,6,13,10,13,12,15,15,13,12,8,16,14,14,9
2912,Henrique Araújo,https://fminside.net/players/3-fm-23/83261904-henrique-araujo,Watford,Portugal,20,STST,Right,182 CM,74 KG,83261904,"€ 100,007,120","€ 6,250 pw",7,10,12,14,13,7,13,10,8,5,12,14,7,13,14,14,13,14,13,13,15,13,10,14,5,12,12,14,13,13,13,12,12,12,12,12
2913,Tiago Tomás,https://fminside.net/players/3-fm-23/83261927-tiago-tomas,VfB Stuttgart,Portugal,20,"AMR, STST",Right,180 CM,72 KG,83261927,"€ 60,004,270","€ 10,100 pw",7,9,13,13,12,6,11,12,8,6,10,11,6,12,15,12,16,11,10,9,16,16,6,13,7,13,12,14,15,15,12,10,15,15,14,12
2914,Ştefan Radu,https://fminside.net/players/3-fm-23/7545224-tefan-radu,Lazio,Romania,35,"DL, DCDL",Left,183 CM,79 KG,7545224,"€ 42,690 pw",2023-06-30,4,13,8,6,12,3,14,8,4,13,12,8,15,13,20,17,15,12,11,12,20,10,17,13,13,17,13,17,12,11,13,12,18,12,11,13
2915,Ianis Hagi,https://fminside.net/players/3-fm-23/57122678-ianis-hagi,Rangers,Romania,23,"AMR, AML, AMCAMR, AMC",Both,182 CM,72 KG,57122678,"€ 23,200 pw",2025-05-31,16,16,13,13,15,17,6,15,5,7,15,14,5,16,9,13,12,12,13,10,13,14,13,12,8,13,14,14,9,11,12,8,14,9,12,10
2916,Stanislav Kritsyuk,https://fminside.net/players/3-fm-23/58050612-stanislav-kritsyuk,Gil Vicente,Russia,31,GKGK,Right,192 CM,84 KG,58050612,"€ 2,750 pw",2025-06-30,14,13,12,8,10,13,13,12,11,8,15,14,12,12,13,12,12,14,11,11,3,10,2,14,13,10,11,11,13,13,15,9,11,12,13,6
2917,Dmitry Barinov,https://fminside.net/players/3-fm-23/58100321-dmitry-barinov,Lokomotiv Moscow,Russia,25,"DC, DM, MCDM",Right,181 CM,80 KG,58100321,"€ 13,000,930","€ 28,000 pw",8,7,8,10,12,7,11,13,7,14,12,12,13,11,17,15,16,13,12,13,14,11,15,12,14,16,9,14,11,14,14,10,16,13,15,11
2918,Fedor Chalov,https://fminside.net/players/3-fm-23/58123846-fedor-chalov,CSKA Moscow,Russia,24,STST,Right,183 CM,75 KG,58123846,"€ 19,000 pw",2024-06-30,10,11,12,13,13,10,6,11,9,7,13,13,6,14,13,14,14,11,12,13,17,16,11,15,10,14,14,11,14,13,11,10,13,14,14,13
2919,Igor Diveev,https://fminside.net/players/3-fm-23/58127846-igor-diveev,CSKA Moscow,Russia,22,DCDC,Right,193 CM,85 KG,58127846,"€ 35,810 pw",2024-06-01,9,5,7,8,8,12,13,14,6,14,11,12,13,8,14,13,16,13,15,13,16,4,5,10,14,14,5,12,11,10,13,15,17,13,14,15
2920,James Forrest,https://fminside.net/players/3-fm-23/29040974-james-forrest,Celtic,Scotland,30,"MR, ML, AMR, AMLMR, AMR",Right,171 CM,67 KG,29040974,"€ 22,040 pw",2025-05-31,9,12,14,13,12,8,7,10,5,9,13,12,12,14,13,14,5,13,12,12,12,11,8,14,12,13,13,13,14,14,12,7,12,13,13,12
2921,Kal Naismith,https://fminside.net/players/3-fm-23/61006548-kal-naismith,Bristol City,Scotland,30,"DL, DC, DM, WBL, MLDL, DC, ML",Left,186 CM,84 KG,61006548,"€ 11,600 pw",2025-06-30,14,12,10,9,11,14,13,7,11,12,14,12,13,10,9,11,12,10,12,10,14,14,16,10,12,16,9,16,11,11,13,12,11,10,14,12
2922,Peter Pekarík,https://fminside.net/players/3-fm-23/7563749-peter-pekarik,Hertha BSC,Slovakia,35,"DR, WBRDR, WBR",Right,177 CM,73 KG,7563749,"€ 15,000 pw",2023-06-30,8,12,10,5,11,5,10,6,13,12,12,6,13,11,10,16,12,13,16,15,12,6,14,10,14,17,9,16,11,13,10,8,15,12,15,9
2923,Marek Rodák,https://fminside.net/players/3-fm-23/28090964-marek-rodak,Fulham,Slovakia,25,GKGK,Right,195 CM,85 KG,28090964,"€ 17,400 pw",2024-06-30,13,13,11,8,10,13,13,14,12,17,15,13,13,11,12,14,11,10,13,13,1,7,3,14,12,5,13,8,15,14,15,14,8,9,12,6
2924,Norbert Gyömber,https://fminside.net/players/3-fm-23/63013052-norbert-gyomber,Salernitana,Slovakia,30,DCDC,Right,189 CM,79 KG,63013052,"€ 10,390 pw",2025-06-30,5,7,7,5,8,5,13,8,6,14,9,6,15,9,11,15,12,12,13,13,17,5,11,5,15,15,6,16,13,11,13,14,13,15,15,12
2925,Ignasi Miquel,https://fminside.net/players/3-fm-23/28027172-ignasi-miquel,Granada,Spain,29,"DL, DCDC",Left,188 CM,82 KG,28027172,"€ 8,910,630","€ 8,690 pw",7,8,8,7,13,6,14,7,9,14,11,8,15,13,15,14,12,13,14,13,11,5,9,5,14,12,10,13,12,12,6,15,13,13,12,13
2926,Ángel,https://fminside.net/players/3-fm-23/67006826-angel,Mallorca,Spain,35,STST,Right,172 CM,68 KG,67006826,"€ 2,637,560","€ 9,110 pw",7,9,12,15,13,9,12,11,6,6,12,13,8,13,12,14,13,14,13,13,13,13,13,16,6,12,11,16,14,13,13,7,14,13,12,8
2927,Pablo Valcarce,https://fminside.net/players/3-fm-23/67014203-pablo-valcarce,Burgos,Spain,29,"AMR, AML, AMCAMR, AMC",Left,175 CM,70 KG,67014203,"€ 7,425,530","€ 7,330 pw",11,12,13,13,12,12,7,13,10,7,13,13,7,13,5,11,13,13,11,11,12,8,11,14,12,12,13,13,13,14,12,10,15,13,13,11
2928,Nolito,https://fminside.net/players/3-fm-23/67017094-nolito,Ibiza,Spain,35,"AML, AMCAML",Right,175 CM,73 KG,67017094,"€ 4,844,630","€ 8,490 pw",14,12,15,13,14,12,9,13,6,4,14,15,10,15,14,13,13,14,15,15,10,16,14,16,10,12,14,13,12,11,12,9,11,11,10,10
2929,Nacho,https://fminside.net/players/3-fm-23/67037315-nacho,Tenerife,Spain,33,"DL, WBLDL, WBL",Left,174 CM,71 KG,67037315,"€ 4,010,560","€ 9,130 pw",8,14,11,9,11,8,7,13,14,11,12,8,12,13,12,15,13,12,13,13,13,11,13,14,11,14,12,14,14,14,13,8,15,14,14,10
2930,Dídac Vilà,https://fminside.net/players/3-fm-23/67046590-didac-vila,,Spain,33,"DL, WBLDL, WBL",Left,184 CM,74 KG,67046590,65.5,65.2,9,13,12,7,12,10,12,8,13,13,12,9,13,13,12,13,12,14,13,14,12,8,11,15,14,13,12,13,12,11,12,11,11,13,13,13
2931,Jorge Miramón,https://fminside.net/players/3-fm-23/67059120-jorge-miramon,Leganés,Spain,33,"DR, WBR, MR, AMRDR, WBR, MR",Right,176 CM,74 KG,67059120,"€ 4,700,370","€ 9,850 pw",9,13,13,7,13,11,9,9,5,12,12,7,12,12,13,13,14,12,13,14,12,13,10,13,13,15,13,14,13,13,12,8,13,13,14,10
2932,José Mari,https://fminside.net/players/3-fm-23/67082063-jose-mari,Cádiz,Spain,34,"DM, MCDM, MC",Right,180 CM,69 KG,67082063,"€ 2,839,270","€ 8,210 pw",11,10,10,7,13,8,11,10,9,10,14,9,12,12,12,15,14,15,15,16,16,8,17,11,15,18,16,16,9,11,12,10,13,8,10,10
2933,Pablo Insua,https://fminside.net/players/3-fm-23/67139775-pablo-insua,Gijón,Spain,28,DCDC,Right,187 CM,80 KG,67139775,"€ 6,682,970","€ 8,620 pw",3,7,9,8,12,5,13,6,8,14,13,7,15,12,12,16,14,14,13,13,14,9,10,8,14,16,10,12,13,10,9,15,13,11,12,12
2934,Javi Manquillo,https://fminside.net/players/3-fm-23/67141802-javi-manquillo,Newcastle,Spain,28,"DR, DL, WBRDR, WBR",Right,178 CM,76 KG,67141802,"€ 46,400 pw",2024-06-30,5,12,11,5,12,7,11,8,12,13,11,7,14,12,13,13,13,12,14,13,16,11,9,13,14,15,9,15,13,14,9,11,12,15,15,12
2935,César De la Hoz,https://fminside.net/players/3-fm-23/67150860-cesar-de-la-hoz,Almería,Spain,30,"DC, DM, MCDM, MC",Right,179 CM,74 KG,67150860,"€ 8,550,600","€ 4,000 pw",7,6,9,8,11,8,12,10,10,12,11,9,13,11,14,13,13,15,15,15,14,9,15,10,15,16,11,15,12,10,10,10,12,13,14,12
2936,Fali,https://fminside.net/players/3-fm-23/67155014-fali,Cádiz,Spain,28,"DC, DMDC, DM",Right,186 CM,84 KG,67155014,"€ 4,050,280","€ 8,450 pw",8,9,7,5,12,10,12,9,12,13,10,7,12,5,16,13,16,13,13,13,18,6,16,10,13,16,11,18,12,9,13,14,15,12,15,16
2937,José Corpas,https://fminside.net/players/3-fm-23/67177648-jose-corpas,Eibar,Spain,30,"MR, ML, AMR, AMLMR, AMR",Right,178 CM,72 KG,67177648,"€ 6,075,430","€ 7,330 pw",13,13,13,13,14,9,8,11,9,9,12,8,9,14,12,13,12,12,13,13,10,14,11,13,11,12,13,12,15,12,11,8,14,13,13,9
2938,Jorge Meré,https://fminside.net/players/3-fm-23/67199429-jorge-mere,Cádiz,Spain,25,DCDC,Right,182 CM,77 KG,67199429,"€ 14,190 pw",2024-12-31,4,7,11,7,12,4,13,7,10,15,12,6,15,12,11,16,11,13,9,11,10,11,12,8,15,12,12,12,10,12,15,12,13,11,12,14
2939,Adrián Marín,https://fminside.net/players/3-fm-23/67199947-adrian-marin,Gil Vicente,Spain,25,"DL, WBLDL, WBL",Left,181 CM,70 KG,67199947,"€ 3,150 pw",2024-06-30,12,14,12,10,14,10,10,10,11,10,13,11,12,14,10,13,11,13,9,12,12,12,8,12,11,13,13,12,13,13,15,11,12,13,13,14
2940,Toni Lato,https://fminside.net/players/3-fm-23/67203459-toni-lato,Valencia,Spain,24,"DL, WBLDL, WBL",Left,173 CM,69 KG,67203459,"€ 80,005,700","€ 8,120 pw",9,12,13,10,12,7,8,11,10,12,13,8,13,12,12,12,12,10,12,12,12,12,8,12,12,13,12,15,15,14,12,7,14,14,14,9
2941,Álvaro Tejero,https://fminside.net/players/3-fm-23/67211897-alvaro-tejero,Eibar,Spain,25,"DR, DL, WBR, WBLDR, WBR",Right,172 CM,65 KG,67211897,"€ 5,737,910","€ 8,070 pw",10,14,11,5,12,11,11,14,13,13,13,9,13,11,10,13,12,11,12,11,14,11,10,11,14,13,13,13,13,12,11,8,14,13,13,9
2942,Pejiño,https://fminside.net/players/3-fm-23/67213926-pejino,Las Palmas,Spain,25,"ML, AMR, AMLAMR, AML",Left,177 CM,67 KG,67213926,"€ 6,750,480","€ 6,710 pw",13,13,15,13,15,10,5,12,6,4,12,9,5,16,8,12,11,13,10,12,12,15,10,14,5,10,15,12,13,15,14,4,9,12,11,9
2943,Dani Ojeda,https://fminside.net/players/3-fm-23/67246236-dani-ojeda,Ponferrada,Spain,27,"MR, ML, AMR, AML, STAMR",Right,177 CM,72 KG,67246236,"€ 6,750,480","€ 7,140 pw",12,14,13,13,10,12,8,10,10,8,12,11,6,11,11,13,11,13,13,12,10,13,5,13,7,12,11,13,13,14,13,8,11,13,12,11
2944,Iván Martín,https://fminside.net/players/3-fm-23/67258832-ivan-martin,Girona,Spain,23,"MC, AMR, AML, AMCMC, AML, AMC",Left,178 CM,0 KG,67258832,"€ 12,250,870","€ 8,740 pw",12,14,15,12,14,12,10,10,8,11,12,12,12,15,9,12,13,12,11,13,16,12,11,12,13,8,14,13,13,12,11,9,15,13,12,12
2945,Mario Gila,https://fminside.net/players/3-fm-23/67277455-mario-gila,Lazio,Spain,21,DCDC,Right,184 CM,76 KG,67277455,"€ 12,310 pw",2027-06-30,6,6,6,6,12,6,15,10,13,12,12,8,15,10,16,14,16,15,10,10,18,13,16,10,12,14,11,14,13,11,12,15,12,13,13,16
2946,Pep Chavarría,https://fminside.net/players/3-fm-23/67277695-pep-chavarria,Rayo Vallecano,Spain,24,"DL, WBL, MLDL, WBL",Left,174 CM,72 KG,67277695,"€ 8,415,590","€ 7,260 pw",11,13,13,5,13,8,8,7,9,12,12,7,13,13,12,10,13,13,11,13,16,9,10,13,11,13,11,13,15,15,12,11,14,15,14,9
2947,Miguel Rubio,https://fminside.net/players/3-fm-23/67282688-miguel-rubio,Granada,Spain,24,DCDC,Right,191 CM,86 KG,67282688,"€ 8,100,570","€ 7,950 pw",7,7,7,7,11,7,15,8,10,13,11,7,14,10,11,13,13,12,14,12,11,8,10,7,14,15,9,12,12,12,11,15,12,13,13,14
2948,Christian Rivera,https://fminside.net/players/3-fm-23/95035901-christian-rivera,Gijón,Spain,24,"DM, MCDM, MC",Right,191 CM,88 KG,95035901,"€ 7,054,250","€ 8,620 pw",8,9,10,7,14,8,12,10,7,12,14,7,14,15,9,14,12,12,14,13,9,10,8,9,16,15,12,9,12,14,8,15,8,11,13,14
2949,José Ángel Carmona,https://fminside.net/players/3-fm-23/2000053930-jose-angel-carmona,Elche CF,Spain,20,"DR, DC, WBRDR, DC, WBR",Right,184 CM,74 KG,2000053930,"€ 18,346,300","€ 8,910 pw",8,11,10,9,11,3,9,9,12,14,9,4,13,12,15,13,15,13,14,13,15,11,12,13,13,14,11,15,14,13,13,10,12,13,14,12
2950,Brian Oliván,https://fminside.net/players/3-fm-23/67144038-brian-olivan,Espanyol,Spain,28,"DL, WBLDL, WBL",Left,177 CM,73 KG,67144038,"€ 8,415,590","€ 7,680 pw",12,13,11,7,13,13,6,11,12,8,13,12,12,13,9,12,14,12,13,12,12,13,11,14,12,13,11,13,13,13,12,8,13,13,13,10
2951,Marcus Berg,https://fminside.net/players/3-fm-23/8111329-marcus-berg,IFK Göteborg,Sweden,35,STST,Right,184 CM,76 KG,8111329,"€ 3,730 pw",2023-12-31,8,9,11,14,14,10,14,11,7,7,12,15,7,14,11,14,14,14,13,14,12,11,13,14,10,12,12,11,10,10,12,13,12,12,12,14
2952,Magnus Eriksson,https://fminside.net/players/3-fm-23/8120006-magnus-eriksson,Djurgårdens IF,Sweden,32,"MC, AMCMC, AMC",Left,181 CM,79 KG,8120006,"€ 2,610 pw",2025-12-31,14,14,10,11,14,14,9,12,9,7,14,12,11,13,13,13,15,13,14,15,17,12,17,13,9,15,14,16,8,12,12,10,13,11,16,13
